******************ready_q****************************
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 2)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 2)
('id : ', 6466, 'cpu :', 10, 'io : ', 4, 'ratio : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 10, 'io : ', 4, 'ratio : ', 1)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 2.6666666666666665)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 2.5)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 2.4285714285714284)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 3.0)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 3)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 2)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 2)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 9.0, 'io : ', 4, 'ratio : ', 1.1111111111111112)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 2.8333333333333335)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 2.6666666666666665)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 2.5714285714285716)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 3.2)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 3)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 3)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 2)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 8.0, 'io : ', 4, 'ratio : ', 1.125)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 3.0)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 2.8333333333333335)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 2.7142857142857144)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 3.4)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 3)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 4)
