******************ready_q****************************
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 11)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 11)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 11)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 11)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 11)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 1)
******************wait_q****************************
('id : ', 7013, 'cpu :', 0.0, 'io :', 7)



******************ready_q****************************
('id : ', 7014, 'cpu :', 2.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 12)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 12)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 12)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 12)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 12)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 12)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 12)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 2)
******************wait_q****************************
('id : ', 7013, 'cpu :', 0.0, 'io :', 6.0)



******************ready_q****************************
('id : ', 7014, 'cpu :', 1.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 13)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 13)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 13)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 13)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 13)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 13)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 13)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 3)
******************wait_q****************************
('id : ', 7013, 'cpu :', 0.0, 'io :', 5.0)



******************ready_q****************************
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 13)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 14)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 14)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 14)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 14)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 14)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 14)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 4)
******************wait_q****************************
('id : ', 7013, 'cpu :', 0.0, 'io :', 4.0)
('id : ', 7014, 'cpu :', 0.0, 'io :', 7)



******************ready_q****************************
('id : ', 7015, 'cpu :', 3.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 15)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 15)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 15)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 15)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 15)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 15)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 5)
******************wait_q****************************
('id : ', 7013, 'cpu :', 0.0, 'io :', 3.0)
('id : ', 7014, 'cpu :', 0.0, 'io :', 7)



******************ready_q****************************
('id : ', 7015, 'cpu :', 2.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 16)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 16)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 16)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 16)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 16)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 16)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 6)
******************wait_q****************************
('id : ', 7013, 'cpu :', 0.0, 'io :', 2.0)
('id : ', 7014, 'cpu :', 0.0, 'io :', 7)



******************ready_q****************************
('id : ', 7015, 'cpu :', 1.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 17)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 17)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 17)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 17)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 17)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 17)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 7)
******************wait_q****************************
('id : ', 7013, 'cpu :', 0.0, 'io :', 1.0)
('id : ', 7014, 'cpu :', 0.0, 'io :', 7)



******************ready_q****************************
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 17)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 18)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 18)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 18)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 18)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 18)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 8)
('id : ', 7013, 'cpu :', 9, 'io : ', 7, 'wait_time : ', 1)
******************wait_q****************************
('id : ', 7014, 'cpu :', 0.0, 'io :', 7)
('id : ', 7015, 'cpu :', 0.0, 'io :', 6)



******************ready_q****************************
('id : ', 7009, 'cpu :', 4.0, 'io : ', 4, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 19)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 19)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 19)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 19)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 19)
('id : ', 7007, 'cpu :', 15, 'io : ', 4, 'wait_time : ', 9)
('id : ', 7013, 'cpu :', 9, 'io : ', 7, 'wait_time : ', 2)
******************wait_q****************************
('id : ', 7014, 'cpu :', 0.0, 'io :', 6.0)
('id : ', 7015, 'cpu :', 0.0, 'io :', 6)



******************ready_q****************************
