******************ready_q****************************
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 37)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 37)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 37)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 37)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 20)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 5)
******************wait_q****************************
('id : ', 6385, 'cpu :', 0.0, 'io :', 5.0)



******************ready_q****************************
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 37)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 39)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 39)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 39)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 39)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 39)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 22)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 7)
******************wait_q****************************
('id : ', 6385, 'cpu :', 0.0, 'io :', 4.0)
('id : ', 6386, 'cpu :', 0.0, 'io :', 8)



******************ready_q****************************
('id : ', 6387, 'cpu :', 6.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 41)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 41)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 41)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 41)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 41)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 24)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 9)
******************wait_q****************************
('id : ', 6385, 'cpu :', 0.0, 'io :', 3.0)
('id : ', 6386, 'cpu :', 0.0, 'io :', 8)



******************ready_q****************************
('id : ', 6387, 'cpu :', 5.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 43)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 43)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 43)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 43)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 43)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 26)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 11)
******************wait_q****************************
('id : ', 6385, 'cpu :', 0.0, 'io :', 2.0)
('id : ', 6386, 'cpu :', 0.0, 'io :', 8)



******************ready_q****************************
('id : ', 6387, 'cpu :', 4.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 45)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 45)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 45)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 45)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 45)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 28)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 13)
******************wait_q****************************
('id : ', 6385, 'cpu :', 0.0, 'io :', 1.0)
('id : ', 6386, 'cpu :', 0.0, 'io :', 8)



******************ready_q****************************
('id : ', 6387, 'cpu :', 3.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 47)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 47)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 47)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 47)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 47)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 30)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 15)
('id : ', 6385, 'cpu :', 12, 'io : ', 8, 'wait_time : ', 1)
******************wait_q****************************
('id : ', 6386, 'cpu :', 0.0, 'io :', 8)



******************ready_q****************************
('id : ', 6387, 'cpu :', 2.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 49)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 49)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 49)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 49)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 49)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 32)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 17)
('id : ', 6385, 'cpu :', 12, 'io : ', 8, 'wait_time : ', 3)
******************wait_q****************************
('id : ', 6386, 'cpu :', 0.0, 'io :', 7.0)



******************ready_q****************************
('id : ', 6387, 'cpu :', 1.0, 'io : ', 6, 'wait_time : ', 0)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 51)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 51)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 51)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 51)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 51)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 34)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 19)
('id : ', 6385, 'cpu :', 12, 'io : ', 8, 'wait_time : ', 5)
******************wait_q****************************
('id : ', 6386, 'cpu :', 0.0, 'io :', 6.0)



******************ready_q****************************
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 51)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 53)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 53)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 53)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 53)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 36)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 21)
('id : ', 6385, 'cpu :', 12, 'io : ', 8, 'wait_time : ', 7)
******************wait_q****************************
('id : ', 6386, 'cpu :', 0.0, 'io :', 5.0)
('id : ', 6387, 'cpu :', 0.0, 'io :', 6)



******************ready_q****************************
('id : ', 6388, 'cpu :', 5.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 55)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 55)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 55)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 55)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 38)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 23)
('id : ', 6385, 'cpu :', 12, 'io : ', 8, 'wait_time : ', 9)
******************wait_q****************************
('id : ', 6386, 'cpu :', 0.0, 'io :', 4.0)
('id : ', 6387, 'cpu :', 0.0, 'io :', 6)



******************ready_q****************************
('id : ', 6388, 'cpu :', 4.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 57)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 57)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 57)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 57)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 40)
('id : ', 6384, 'cpu :', 13, 'io : ', 3, 'wait_time : ', 25)
('id : ', 6385, 'cpu :', 12, 'io : ', 8, 'wait_time : ', 11)
