child 10064 created, exec 1012, timing 792
child 10065 created, exec 894, timing 244
child 10066 created, exec 995, timing 989
child 10067 created, exec 1185, timing 850
child 10068 created, exec 569, timing 290
child 10069 created, exec 775, timing 495
child 10070 created, exec 1471, timing 975
child 10071 created, exec 828, timing 234
child 10072 created, exec 765, timing 533
child 10073 created, exec 1402, timing 979
total cpu burst time is 9896
RUN _Q(10069) count: 474, tq: 22.
RUN _Q(10069) count: 475, tq: 21.
RUN _Q(10069) count: 476, tq: 20.
RUN _Q(10069) count: 477, tq: 19.
RUN _Q(10069) count: 478, tq: 18.
RUN _Q(10069) count: 479, tq: 17.
RUN _Q(10069) count: 480, tq: 16.
RUN _Q(10069) count: 481, tq: 15.
RUN _Q(10069) count: 482, tq: 14.
RUN _Q(10069) count: 483, tq: 13.
RUN _Q(10069) count: 484, tq: 12.
RUN _Q(10069) count: 485, tq: 11.
RUN _Q(10069) count: 486, tq: 10.
RUN _Q(10069) count: 487, tq: 9.
RUN _Q(10069) count: 488, tq: 8.
RUN _Q(10069) count: 489, tq: 7.
RUN _Q(10069) count: 490, tq: 6.
RUN _Q(10069) count: 491, tq: 5.
RUN _Q(10069) count: 492, tq: 4.
RUN _Q(10069) count: 493, tq: 3.
RUN _Q(10069) count: 494, tq: 2.
RUN _Q(10069) count: 495, tq: 1.
RUN _Q(10069) count: 496, tq: 0. go to end
RUN _Q(10070) count: 497, tq: 30.
RUN _Q(10070) count: 498, tq: 29.
RUN _Q(10070) count: 499, tq: 28.
RUN _Q(10070) count: 500, tq: 27.
RUN _Q(10070) count: 501, tq: 26.
RUN _Q(10070) count: 502, tq: 25.
RUN _Q(10070) count: 503, tq: 24.
RUN _Q(10070) count: 504, tq: 23.
RUN _Q(10070) count: 505, tq: 22.
RUN _Q(10070) count: 506, tq: 21.
RUN _Q(10070) count: 507, tq: 20.
RUN _Q(10070) count: 508, tq: 19.
RUN _Q(10070) count: 509, tq: 18.
RUN _Q(10070) count: 510, tq: 17.
RUN _Q(10070) count: 511, tq: 16.
RUN _Q(10070) count: 512, tq: 15.
RUN _Q(10070) count: 513, tq: 14.
RUN _Q(10070) count: 514, tq: 13.
RUN _Q(10070) count: 515, tq: 12.
RUN _Q(10070) count: 516, tq: 11.
RUN _Q(10070) count: 517, tq: 10.
RUN _Q(10070) count: 518, tq: 9.
RUN _Q(10070) count: 519, tq: 8.
RUN _Q(10070) count: 520, tq: 7.
RUN _Q(10070) count: 521, tq: 6.
RUN _Q(10070) count: 522, tq: 5.
RUN _Q(10070) count: 523, tq: 4.
RUN _Q(10070) count: 524, tq: 3.
RUN _Q(10070) count: 525, tq: 2.
RUN _Q(10070) count: 526, tq: 1.
RUN _Q(10070) count: 527, tq: 0. go to end
RUN _Q(10071) count: 528, tq: 30.
RUN _Q(10071) count: 529, tq: 29.
RUN _Q(10071) count: 530, tq: 28.
RUN _Q(10071) count: 531, tq: 27.
RUN _Q(10071) count: 532, tq: 26.
RUN _Q(10071) count: 533, tq: 25.
RUN _Q(10071) count: 534, tq: 24.
RUN _Q(10071) count: 535, tq: 23.
RUN _Q(10071) count: 536, tq: 22.
RUN _Q(10071) count: 537, tq: 21.
RUN _Q(10071) count: 538, tq: 20.
RUN _Q(10071) count: 539, tq: 19.
RUN _Q(10071) count: 540, tq: 18.
RUN _Q(10071) count: 541, tq: 17.
RUN _Q(10071) count: 542, tq: 16.
RUN _Q(10071) count: 543, tq: 15.
RUN _Q(10071) count: 544, tq: 14.
RUN _Q(10071) count: 545, tq: 13.
RUN _Q(10071) count: 546, tq: 12.
RUN _Q(10071) count: 547, tq: 11.
RUN _Q(10071) count: 548, tq: 10.
RUN _Q(10071) count: 549, tq: 9.
RUN _Q(10071) count: 550, tq: 8.
RUN _Q(10071) count: 551, tq: 7.
RUN _Q(10071) count: 552, tq: 6.
RUN _Q(10071) count: 553, tq: 5.
RUN _Q(10071) count: 554, tq: 4.
RUN _Q(10071) count: 555, tq: 3.
RUN _Q(10071) count: 556, tq: 2.
RUN _Q(10071) count: 557, tq: 1.
RUN _Q(10071) count: 558, tq: 0. go to end
RUN _Q(10072) count: 559, tq: 30.
RUN _Q(10072) count: 560, tq: 29.
RUN _Q(10072) count: 561, tq: 28.
RUN _Q(10072) count: 562, tq: 27.
RUN _Q(10072) count: 563, tq: 26.
RUN _Q(10072) count: 564, tq: 25.
RUN _Q(10072) count: 565, tq: 24.
RUN _Q(10072) count: 566, tq: 23.
RUN _Q(10072) count: 567, tq: 22.
RUN _Q(10072) count: 568, tq: 21.
RUN _Q(10072) count: 569, tq: 20.
RUN _Q(10072) count: 570, tq: 19.
RUN _Q(10072) count: 571, tq: 18.
RUN _Q(10072) count: 572, tq: 17.
RUN _Q(10072) count: 573, tq: 16.
RUN _Q(10072) count: 574, tq: 15.
RUN _Q(10072) count: 575, tq: 14.
RUN _Q(10072) count: 576, tq: 13.
RUN _Q(10072) count: 577, tq: 12.
RUN _Q(10072) count: 578, tq: 11.
RUN _Q(10072) count: 579, tq: 10.
RUN _Q(10072) count: 580, tq: 9.
RUN _Q(10072) count: 581, tq: 8.
RUN _Q(10072) count: 582, tq: 7.
RUN _Q(10072) count: 583, tq: 6.
RUN _Q(10072) count: 584, tq: 5.
RUN _Q(10072) count: 585, tq: 4.
RUN _Q(10072) count: 586, tq: 3.
RUN _Q(10072) count: 587, tq: 2.
RUN _Q(10072) count: 588, tq: 1.
RUN _Q(10072) count: 589, tq: 0. go to end
RUN _Q(10073) count: 590, tq: 30.
RUN _Q(10073) count: 591, tq: 29.
RUN _Q(10073) count: 592, tq: 28.
RUN _Q(10073) count: 593, tq: 27.
RUN _Q(10073) count: 594, tq: 26.
RUN _Q(10073) count: 595, tq: 25.
RUN _Q(10073) count: 596, tq: 24.
RUN _Q(10073) count: 597, tq: 23.
RUN _Q(10073) count: 598, tq: 22.
RUN _Q(10073) count: 599, tq: 21.
RUN _Q(10073) count: 600, tq: 20.
RUN _Q(10073) count: 601, tq: 19.
RUN _Q(10073) count: 602, tq: 18.
RUN _Q(10073) count: 603, tq: 17.
RUN _Q(10073) count: 604, tq: 16.
RUN _Q(10073) count: 605, tq: 15.
RUN _Q(10073) count: 606, tq: 14.
RUN _Q(10073) count: 607, tq: 13.
RUN _Q(10073) count: 608, tq: 12.
